연번,조사일자,호선,역번호,역명,구분,출근,퇴근,평일평균,주말 오전,주말 오후,주말 밤
2,평일,1,150,서울역,하선,20.8,51.1,25.44,10.91,30,20.82
1,평일,1,150,서울역,상선,45.5,22.57,22.4,17.35,25.83,11.15
4,평일,1,151,시청,하선,19.85,47.25,23.56,10.22,28.81,18.08
3,평일,1,151,시청,상선,35.15,27.3,21.87,15.83,25.48,13
6,평일,1,152,종각,하선,26.68,37.3,22.28,11.36,28.8,16
5,평일,1,152,종각,상선,21.77,33.12,21.65,14.25,24.68,15.24
8,평일,1,153,종로3가,하선,37.57,28.07,21.49,12.63,28.67,12.97
7,평일,1,153,종로3가,상선,22.02,36.55,23.48,14.54,26.38,16.73
10,평일,1,154,종로5가,하선,41.62,26.92,22.88,14.9,32.18,11.73
9,평일,1,154,종로5가,상선,16.12,38.82,22.45,13.09,25.08,17.17
12,평일,1,155,동대문,하선,45.5,20.85,21.76,15.42,30.63,9.96
11,평일,1,155,동대문,상선,14.98,39.83,22.52,12.87,25.56,17.53
14,평일,1,156,신설동,하선,43.42,17.93,20.88,16.3,27.43,8.61
13,평일,1,156,신설동,상선,11.87,37.75,20.61,10.87,23.68,16.64
16,평일,1,157,제기동,하선,41.53,15.12,19.65,16.12,26.28,8.17
15,평일,1,157,제기동,상선,9.75,37.22,18.75,9.65,20.5,16.2
18,평일,1,158,청량리,하선,40.93,13.35,17.99,15.28,22.66,7.68
17,평일,1,158,청량리,상선,7.6,32.52,16.11,7.55,17.46,14.48
20,평일,1,159,동묘앞,하선,46.27,19.43,21.76,16.04,31.33,9.6
19,평일,1,159,동묘앞,상선,13.25,36.9,20.85,11.09,23.41,16.03
22,평일,2,201,시청,외선,23.25,55.75,31.34,13.3,35.27,27.04
21,평일,2,201,시청,내선,51.43,33.02,31.17,16.3,29.1,24.95
24,평일,2,202,을지로입구,외선,28.4,49.22,30.15,13.28,32.95,25.09
23,평일,2,202,을지로입구,내선,36.37,42.85,30.91,14,29.44,27.54
26,평일,2,203,을지로3가,외선,40.28,39.72,29.66,15.6,32.86,22
25,평일,2,203,을지로3가,내선,32.57,43.68,30.51,13.63,28.59,27.75
28,평일,2,204,을지로4가,외선,43.83,35.13,28.69,16.09,31.77,21.15
27,평일,2,204,을지로4가,내선,30.53,48.1,31.6,13.39,29.26,28.46
30,평일,2,205,동대문역사문화공원,외선,47.68,33.18,29.2,16.94,32.52,21.03
29,평일,2,205,동대문역사문화공원,내선,41.72,49.88,35.68,17.08,33.8,28.96
32,평일,2,206,신당,외선,47.32,41.93,33.37,18.44,36.05,26
31,평일,2,206,신당,내선,44.68,48.6,36.12,17.83,34.74,28.05
34,평일,2,207,상왕십리,외선,45.47,44.25,33.63,18.18,36.13,27.6
33,평일,2,207,상왕십리,내선,45.98,47.17,35.77,18.19,34.5,26.97
36,평일,2,208,왕십리,외선,42.72,44.72,33.29,17.43,35.53,27.67
35,평일,2,208,왕십리,내선,39.6,32.42,27.29,15.45,28.66,19.37
38,평일,2,209,한양대,외선,27.8,36.93,25.42,13.09,27.42,24.35
37,평일,2,209,한양대,내선,36.88,33.02,26.45,13.45,27.18,19.96
40,평일,2,210,뚝섬,외선,27.82,35.17,24.71,12.98,26.2,22.35
39,평일,2,210,뚝섬,내선,30.82,36.05,25.62,12.62,26.14,21.06
42,평일,2,211,성수,외선,31.35,30.72,24.02,13.14,26.06,21.1
41,평일,2,211,성수,내선,23.13,39.7,27.34,12.17,26.84,25.93
44,평일,2,212,건대입구,외선,41.55,28.67,26.39,16.21,29.26,19.9
43,평일,2,212,건대입구,내선,33.32,32.7,27.91,15.3,27.28,24.18
46,평일,2,213,구의,외선,33,36.43,27.59,15.21,29.94,22.86
45,평일,2,213,구의,내선,36.75,29.37,26.88,16.05,26.54,21.56
48,평일,2,214,강변,외선,27.98,38.32,26.94,13.54,28.75,23.89
47,평일,2,214,강변,내선,42.95,27.73,27.36,16.23,26.36,20.35
50,평일,2,215,잠실나루,외선,24.52,41.27,27.65,12.96,28.17,24.15
49,평일,2,215,잠실나루,내선,43.25,27.42,27.25,16.12,26.38,19.68
52,평일,2,216,잠실,외선,23.8,40.97,27.73,12.59,28.03,24.57
51,평일,2,216,잠실,내선,60.05,30.45,32.62,17.49,28.3,23.58
54,평일,2,217,신천,외선,24.08,55.15,34.19,15.54,31.24,24.48
53,평일,2,217,신천,내선,63.27,27.67,32.11,18.44,26.83,21.67
56,평일,2,218,종합운동장,외선,20.27,58.08,33.83,14.09,30.72,24.45
55,평일,2,218,종합운동장,내선,65.23,27.38,32.61,18.09,25.72,21.95
58,평일,2,219,삼성,외선,19.98,60.05,33.96,13.87,30.95,23.29
57,평일,2,219,삼성,내선,53.55,45.55,36.45,15.68,28.15,28.48
60,평일,2,220,선릉,외선,39.32,52.15,37.09,19.02,34.13,20.17
59,평일,2,220,선릉,내선,55.78,67.57,47.28,17.74,34.34,34.63
62,평일,2,221,역삼,외선,59.72,56.63,46.39,25.12,39.84,23.44
61,평일,2,221,역삼,내선,41.7,85.77,50.47,17.55,35.86,36.97
64,평일,2,222,강남,외선,81.23,47.75,49.29,27.82,41.22,23.45
63,평일,2,222,강남,내선,32.43,94.97,54.77,17.12,37.87,43.99
66,평일,2,223,교대,외선,98.38,45.92,52.04,33.8,45.86,23.44
65,평일,2,223,교대,내선,30.5,97.23,55.14,17.21,37.94,46.81
68,평일,2,224,서초,외선,104.87,40.75,51.58,37.69,45.42,21.95
67,평일,2,224,서초,내선,25.35,100.78,54.91,16.03,38.05,47.86
70,평일,2,225,방배,외선,110.9,36.48,51.16,38.39,43.7,21.13
69,평일,2,225,방배,내선,24.63,102.62,55.22,16.08,38.35,47.77
72,평일,2,226,사당,외선,113.08,35.42,51.39,39.21,43.5,21.53
71,평일,2,226,사당,내선,26.13,92.25,51.82,15.43,37.5,48.15
74,평일,2,227,낙성대,외선,101.62,34.97,47.57,39.38,41.96,21.85
73,평일,2,227,낙성대,내선,27.58,86.18,49.7,15.6,36.57,44.73
76,평일,2,228,서울대입구,외선,92.63,35,45.19,37.32,39.25,22.6
75,평일,2,228,서울대입구,내선,28.48,76.2,44.66,14.25,33.93,40.29
78,평일,2,229,봉천,외선,81.5,34.52,41.58,33.94,35.58,21.37
77,평일,2,229,봉천,내선,32.07,71.35,43.61,15.01,33.54,37.97
80,평일,2,230,신림,외선,74.75,36.05,40.39,31.63,34.78,22.51
79,평일,2,230,신림,내선,40.38,57.93,39.91,17.48,32.49,31.31
82,평일,2,231,신대방,외선,56.85,41.75,37.84,25.45,32.41,26.32
81,평일,2,231,신대방,내선,45.97,55.77,40.08,19.73,33.52,29.06
84,평일,2,232,구로디지털단지,외선,52.07,46.92,38.46,23.68,32.95,29.07
83,평일,2,232,구로디지털단지,내선,48.72,63.35,43.03,23.81,35.93,27.41
86,평일,2,233,대림,외선,57.33,48.83,41.54,22.27,34.9,34.74
85,평일,2,233,대림,내선,53.62,59.37,42.99,26.25,36.75,24.79
88,평일,2,234,신도림,외선,48.02,47.22,36.39,19.83,33.62,32.04
87,평일,2,234,신도림,내선,68.85,40.33,37.2,23.85,38.56,19.87
90,평일,2,235,문래,외선,41.95,60.95,39.55,17.88,33.49,38.82
89,평일,2,235,문래,내선,65.28,43.28,39.7,23.42,39.9,23.57
92,평일,2,236,영등포구청,외선,43.87,58.77,39.25,17.83,33.89,38.63
91,평일,2,236,영등포구청,내선,62.25,41.82,37.77,22.84,39.99,22.31
94,평일,2,237,당산,외선,39.87,55.2,37.3,16.4,33.13,39.18
93,평일,2,237,당산,내선,62.67,42.17,38.05,23.36,43.3,22.81
96,평일,2,238,합정,외선,39,56.23,38,16.17,34.99,42.1
95,평일,2,238,합정,내선,55.62,30.5,31.52,19.54,36.14,18.83
98,평일,2,239,홍대입구,외선,24.6,50.55,31.22,12.16,31.23,35.87
97,평일,2,239,홍대입구,내선,57.4,26.53,31.08,18.49,30,24.78
100,평일,2,240,신촌(지하),외선,19.53,54.4,30.42,12.16,34.75,28.65
99,평일,2,240,신촌(지하),내선,56.42,26.3,31.07,17.1,28.78,26.23
102,평일,2,241,이대,외선,21.15,53.92,29.67,12.56,34.95,25.57
101,평일,2,241,이대,내선,56.52,27.03,30.76,16.94,29.84,26.1
104,평일,2,242,아현,외선,21.48,54.75,30.29,13.22,34.85,26.19
103,평일,2,242,아현,내선,58.53,26.9,31.14,17.45,30.13,26.37
106,평일,2,243,충정로,외선,20.82,55.42,30.58,13.11,34.82,26.6
105,평일,2,243,충정로,내선,57.58,28.63,31.71,17.57,30.75,26.08
190,평일,3,342,오금,하선,0,0,0,0,0,0
189,평일,3,342,오금,상선,16.07,5.85,6.84,4.28,4.52,1.85
188,평일,3,341,경찰병원,하선,4.82,14.72,7.28,2.19,4.47,4.15
187,평일,3,341,경찰병원,상선,18.72,7.93,8.6,5.25,5.69,2.26
186,평일,3,340,가락시장,하선,7.13,17.38,9.31,2.7,5.43,5.5
185,평일,3,340,가락시장,상선,26.5,13.07,12.99,7.64,8.67,4.4
184,평일,3,339,수서,하선,9.73,20.48,11.62,4.5,8.72,6.48
183,평일,3,339,수서,상선,23.93,11.92,12.34,7.3,9.1,4.42
182,평일,3,338,일원,하선,10.52,21,12.47,4.8,9.2,6.94
181,평일,3,338,일원,상선,25.1,14.42,13.93,7.76,10.2,4.59
180,평일,3,337,대청,하선,12.87,22.07,14.08,5.33,9.83,7.65
179,평일,3,337,대청,상선,28.08,16.9,15.78,8.85,11.42,4.9
178,평일,3,336,학여울,하선,14.27,24.17,15.69,5.58,10.85,8.78
177,평일,3,336,학여울,상선,27.88,17.45,16.01,8.8,12.59,5.15
176,평일,3,335,대치,하선,14.57,24.17,16.04,6.19,11.44,8.91
175,평일,3,335,대치,상선,30.03,19.67,17.78,9.47,14.26,6.2
174,평일,3,334,도곡,하선,15.98,26.48,17.89,7.2,12.63,9.69
173,평일,3,334,도곡,상선,32.18,22.78,19.84,10.53,16.24,7.28
172,평일,3,333,매봉,하선,18.12,30.2,20.08,8.15,14.52,10.81
171,평일,3,333,매봉,상선,32.25,27.28,21.61,10.89,17.25,7.96
170,평일,3,332,양재,하선,22.63,30.13,21.37,8.85,15.23,11.18
169,평일,3,332,양재,상선,38.88,55.3,34.15,15.33,28.46,14.2
168,평일,3,331,남부터미널,하선,50.9,41.42,34.26,16.14,24.95,18.02
167,평일,3,331,남부터미널,상선,38.57,66.53,39.18,16.93,34.17,18.29
166,평일,3,330,교대,하선,63.18,43.72,39.32,19.93,30.62,20.32
165,평일,3,330,교대,상선,42.78,84.03,48.37,20.5,41.9,23.78
164,평일,3,329,고속터미널,하선,77.5,52.77,47.8,22.58,38.79,25.73
163,평일,3,329,고속터미널,상선,41.85,65.33,41.38,19.47,38.8,22.8
162,평일,3,328,잠원,하선,56.48,49.28,41.61,20.22,36.68,23.92
161,평일,3,328,잠원,상선,41.92,64.75,41.04,19.39,38.74,22.56
160,평일,3,327,신사,하선,54.73,48.8,41.22,20.03,36.45,23.98
159,평일,3,327,신사,상선,31.72,69.82,39.96,16.34,35.59,24.77
158,평일,3,326,압구정,하선,64.03,41.73,40.3,21.78,35.37,19.69
157,평일,3,326,압구정,상선,25.83,76.57,40.9,13.8,35.92,28.5
156,평일,3,325,옥수,하선,74.28,37.45,41.44,26.28,35.56,17.17
155,평일,3,325,옥수,상선,26.53,69.25,37.73,13.32,33.19,25.64
154,평일,3,324,금호,하선,67.27,35.9,38.43,23.7,32.92,16.7
153,평일,3,324,금호,상선,28.23,67.5,37.89,13.52,33.32,25.02
152,평일,3,323,약수,하선,65.07,36.9,38.37,23.21,33.03,17.25
151,평일,3,323,약수,상선,28.15,56.28,33.55,12.79,29.58,21.43
150,평일,3,322,동대입구,하선,54.78,35.3,34.56,19.57,29.3,15.74
149,평일,3,322,동대입구,상선,26.93,59.12,34.01,12.11,30.16,22.03
148,평일,3,321,충무로,하선,57.18,34.17,34.82,20.8,29.22,15.29
147,평일,3,321,충무로,상선,26.57,52.42,31.03,12.22,27.75,19.88
146,평일,3,320,을지로3가,하선,51.38,32.48,31.99,18.07,27.55,14.88
145,평일,3,320,을지로3가,상선,23.75,61.78,33.71,13.2,29.51,22.56
144,평일,3,319,종로3가,하선,63.9,29.38,33.94,20.6,30.17,14.78
143,평일,3,319,종로3가,상선,28.03,75.83,41.24,17.76,37.63,28.78
142,평일,3,318,안국,하선,80.95,32.67,41.28,26.85,38.45,17.37
141,평일,3,318,안국,상선,18.97,79.92,39.63,15.22,33.3,29.32
140,평일,3,317,경복궁,하선,86.9,24.37,39,27.84,35.2,14.1
139,평일,3,317,경복궁,상선,12.08,81.6,37.28,12.17,27.4,29.55
138,평일,3,316,독립문,하선,92.02,17,36.04,27.78,30.44,9.84
137,평일,3,316,독립문,상선,11.53,79.5,36.94,11.35,26.76,28.95
136,평일,3,315,무악재,하선,91,16.35,35.73,28,29.25,9.75
135,평일,3,315,무악재,상선,11.8,77.98,36.13,11.22,26.29,28.4
134,평일,3,314,홍제,하선,88.82,16.12,35.08,27.43,28.68,9.71
133,평일,3,314,홍제,상선,11.48,73.2,33.92,11,24.53,25.94
132,평일,3,313,녹번,하선,83.58,15.47,33.02,25.31,26.42,9.38
131,평일,3,313,녹번,상선,11.8,64.2,30.97,11,23.4,23.68
130,평일,3,312,불광,하선,72.63,15.02,30.04,22.73,24.63,9.49
129,평일,3,312,불광,상선,12.77,63.15,30.88,11.45,23.28,23.3
128,평일,3,311,연신내,하선,62.1,12.83,26.22,19.42,21.08,8.29
127,평일,3,311,연신내,상선,12.45,47.23,24.56,10.64,19.22,17.76
126,평일,3,310,구파발,하선,51.75,13.75,23.56,16.05,19.66,8.46
125,평일,3,310,구파발,상선,10.43,39.75,19.99,8.3,16.03,15.11
124,평일,3,309,지축,하선,64.13,21.73,28.11,24.61,32.14,11.3
123,평일,3,309,지축,상선,16,62.75,30.22,12.68,30.15,25.35
191,평일,4,409,당고개,상선,0,0,0,0,0,0
192,평일,4,409,당고개,하선,8.17,2.15,3.45,3.14,3.34,1.25
193,평일,4,410,상계,상선,1.68,5.73,3.18,1.98,2.52,3
194,평일,4,410,상계,하선,19.9,4.6,8.27,7.38,7.09,3.07
195,평일,4,411,노원,상선,3.77,14.42,7.58,4.05,5.76,6.92
196,평일,4,411,노원,하선,30.87,9.95,14.95,11.43,12.39,7.18
197,평일,4,412,창동,상선,8.95,26.98,14.22,7.6,11.56,12.2
198,평일,4,412,창동,하선,43.97,12.78,20.6,18.06,18.98,10.73
199,평일,4,413,쌍문,상선,12.07,42.92,21.74,11.45,17.35,19.69
200,평일,4,413,쌍문,하선,58.07,13.48,24.73,23.3,21.8,10.79
201,평일,4,414,수유,상선,11.53,53.63,26.29,12.97,19.71,24.55
202,평일,4,414,수유,하선,68.63,14.45,28.13,27.6,24.58,11.39
203,평일,4,415,미아,상선,11.6,63.3,30.1,13.05,22.33,29.63
204,평일,4,415,미아,하선,71.03,15.12,29.32,29.57,25.49,11.38
205,평일,4,416,미아삼거리,상선,13.15,68.52,33.14,13.75,24.5,32.52
206,평일,4,416,미아삼거리,하선,80.05,15.9,32.12,32.67,27.93,12.01
207,평일,4,417,길음,상선,13.68,78.47,37.64,15.25,28.34,37.17
208,평일,4,417,길음,하선,87.77,16.77,34.75,35.19,30.27,12.42
209,평일,4,418,성신여대입구,상선,14.28,86.13,40.59,15.55,30.51,40.8
210,평일,4,418,성신여대입구,하선,95.32,19.22,38.15,38.6,33.82,14.29
211,평일,4,419,한성대입구,상선,15.67,92.75,43.6,16.63,33.48,44.3
212,평일,4,419,한성대입구,하선,96.73,20.7,39.16,39.26,35.49,15.35
213,평일,4,420,혜화,상선,17.65,95.13,45.63,17.65,35.01,46.51
214,평일,4,420,혜화,하선,93.05,26.8,42.89,38.9,38.59,24.02
215,평일,4,421,동대문,상선,24.9,96.55,48.47,20.6,43.25,46.28
216,평일,4,421,동대문,하선,88.55,28.78,42.38,37.72,39.39,24.27
217,평일,4,422,동대문역사문화공원,상선,27.52,92.82,48.56,21.57,43.65,45.96
218,평일,4,422,동대문역사문화공원,하선,61.33,22.28,31.31,28.1,30.26,19.2
219,평일,4,423,충무로,상선,23.1,68.88,37.31,18.68,36.57,34.1
220,평일,4,423,충무로,하선,44.35,24.6,27,22.19,27.68,18.41
221,평일,4,424,명동,상선,26.02,55.22,32.7,18.22,33.53,28.88
222,평일,4,424,명동,하선,38.07,27.07,25.98,20.25,25.85,19.25
223,평일,4,425,회현,상선,30.2,49.25,31.66,19.05,33.04,26.4
224,평일,4,425,회현,하선,29.52,30.58,24.19,16.93,25.16,20.66
225,평일,4,426,서울역,상선,34.62,41.62,30.2,20.54,31.99,24.77
226,평일,4,426,서울역,하선,18.93,28.08,19.29,11.67,18.83,16.19
227,평일,4,427,숙대입구,상선,32.95,30.92,24.73,17.19,25.56,18.85
228,평일,4,427,숙대입구,하선,17.38,28.55,19.1,11.48,18.55,16.03
229,평일,4,428,삼각지,상선,33.68,29.77,24.39,17.08,25.24,18.34
230,평일,4,428,삼각지,하선,20.97,30.47,20.88,12.98,19.5,17.64
231,평일,4,429,신용산,상선,35.43,32.93,26.05,17.84,27.11,19.65
232,평일,4,429,신용산,하선,16.47,32.82,20.55,11.99,19,18.33
233,평일,4,430,이촌,상선,39.37,29.37,25.92,18.54,27.15,18.45
234,평일,4,430,이촌,하선,19.45,34.85,22.67,14.1,21.04,20.08
235,평일,4,431,동작,상선,40.27,32.22,27.56,19.91,29.08,20.28
236,평일,4,431,동작,하선,19.75,38.75,23.21,13.03,21.68,21
237,평일,4,432,총신대입구,상선,44.8,31.92,28.84,21.33,29.43,20.6
238,평일,4,432,총신대입구,하선,21.13,39.43,23.9,14.71,22.48,21.68
239,평일,4,433,사당,상선,46.67,32.87,29.43,22.26,30.71,21.64
240,평일,4,433,사당,하선,16.62,31.77,19.06,13.52,16.15,16.74
241,평일,4,434,남태령,상선,83.18,55.42,45.67,35.52,47.88,29.41
242,평일,4,434,남태령,하선,32.52,61.73,33.84,24.47,29.01,30.3
243,평일,5,2511,방화,상선,0,0,0,0,0,0
244,평일,5,2511,방화,하선,4.45,1.8,2.41,1.98,2.32,0.7
245,평일,5,2512,개화산,상선,1.97,3.87,2.5,1.19,2.1,1.79
246,평일,5,2512,개화산,하선,7.78,3.63,4.3,3.38,4.09,1.3
247,평일,5,2513,김포공항,상선,3.63,6.82,4.42,2.18,3.63,3.09
248,평일,5,2513,김포공항,하선,14,10.93,9.23,5.47,9.23,5.97
249,평일,5,2514,송정,상선,9.47,14.23,9.89,6.79,9.52,5.22
250,평일,5,2514,송정,하선,16.57,12.18,10.68,6.62,10.55,6.35
251,평일,5,2515,마곡,상선,10.57,16.37,11.34,7.47,10.67,6.33
252,평일,5,2515,마곡,하선,18.57,16.37,12.94,7.28,11.91,7.18
253,평일,5,2516,발산,상선,14.85,18.48,13.5,8.35,11.93,7.13
254,평일,5,2516,발산,하선,19.28,25.25,17.18,8.13,15.46,10.21
255,평일,5,2517,우장산,상선,25.1,22.08,17.51,11.15,16,8.7
256,평일,5,2517,우장산,하선,26.5,26.03,19.86,10.45,17.7,10.43
257,평일,5,2518,화곡,상선,26.78,28.3,20.35,11.63,17.71,11.18
258,평일,5,2518,화곡,하선,43.1,26.48,24.82,15.99,22.2,10.85
259,평일,5,2519,까치산,상선,25.67,42.92,25.46,11.75,21.43,16.83
260,평일,5,2519,까치산,하선,52.13,20.57,24.54,18.81,22.46,8.92
261,평일,5,2520,신정,상선,17.13,48.72,25.65,9.43,21.2,19.65
262,평일,5,2520,신정,하선,61.87,20.5,26.96,21.68,24.43,8.87
263,평일,5,2521,목동,상선,15.72,54.07,27.58,9.37,22.61,22.1
264,평일,5,2521,목동,하선,69.4,21.85,29.95,23.8,27.43,9.88
265,평일,5,2522,오목교,상선,16.25,64.03,31.33,10.18,25.43,24.8
266,평일,5,2522,오목교,하선,72.22,26.2,32.79,24.28,30.12,12.27
267,평일,5,2523,양평,상선,20.5,71.22,35.06,12.36,28.27,26.16
268,평일,5,2523,양평,하선,75.58,28.02,34.14,25.04,30.97,12.57
269,평일,5,2524,영등포구청,상선,21.75,72.3,36.03,12.47,28.94,26.95
270,평일,5,2524,영등포구청,하선,58.97,19.37,25.71,19.43,23.52,9.02
271,평일,5,2525,영등포시장,상선,14.95,56.17,27.63,9.07,22.81,20.53
272,평일,5,2525,영등포시장,하선,59.08,20.07,25.81,18.96,23.7,9.38
273,평일,5,2526,신길,상선,15.88,56.45,28.05,9.58,23.08,20.28
274,평일,5,2526,신길,하선,70.05,21.7,28.66,20.48,26.37,9.73
275,평일,5,2527,여의도,상선,16.57,64.82,30.75,9.67,25.04,21.91
276,평일,5,2527,여의도,하선,52.75,37.28,29.37,16.8,26.24,11.78
277,평일,5,2528,여의나루,상선,33.65,51.08,29.72,10.77,24.65,18.18
278,평일,5,2528,여의나루,하선,50.32,40.73,29.82,15.73,26.13,13.55
279,평일,5,2529,마포,상선,37.63,49.17,30.34,12.32,26.58,16.63
280,평일,5,2529,마포,하선,47.18,41.5,29.6,15.47,26.09,13.43
281,평일,5,2530,공덕,상선,38.82,47.67,30.04,12.24,26.49,16.48
282,평일,5,2530,공덕,하선,47.88,35.4,28.02,15.32,24.5,11.54
283,평일,5,2531,애오개,상선,32.35,48.4,28.42,11.01,24.37,15.99
284,평일,5,2531,애오개,하선,47.42,35.2,27.68,14.87,24.57,11.39
285,평일,5,2532,충정로,상선,31.5,47.85,28.34,11.05,24.23,15.83
286,평일,5,2532,충정로,하선,45.9,33.97,26.82,14.57,24.06,11.03
287,평일,5,2533,서대문,상선,31.13,45.42,27.44,10.73,23.69,15.58
288,평일,5,2533,서대문,하선,37.27,39.28,26.89,14.38,24.55,11.18
289,평일,5,2534,광화문,상선,37.93,38.57,26.84,11.05,23.37,15.51
290,평일,5,2534,광화문,하선,22.15,49.27,27.3,12.11,23.73,14.55
291,평일,5,2535,종로3가,상선,50.35,27.62,25.88,13.29,24.93,12.71
292,평일,5,2535,종로3가,하선,17.5,46.68,24.88,9.75,21.23,16.46
293,평일,5,2536,을지로4가,상선,50.12,22.47,23.9,14.67,23.71,10.19
